,reservoir storage
2005-09-26,47911477.66130943
2005-09-27,46661310.13228702
2005-09-28,45501022.25208521
2005-09-29,44398258.75600661
2005-09-30,43359836.002970316
2005-10-01,42393945.6530786
2005-10-02,41543529.16065172
2005-10-03,40750712.00271697
2005-10-04,39979600.35301554
2005-10-05,39187884.81304825
2005-10-06,38371128.645664655
2005-10-07,37571530.063641466
2005-10-08,36794453.92204916
2005-10-09,36010882.36422345
2005-10-10,35257979.07068388
2005-10-11,34573896.97073778
2005-10-12,33980129.92493237
2005-10-13,33411914.011795364
2005-10-14,32845089.116742805
2005-10-15,32322713.215560127
2005-10-16,31863336.2171417
2005-10-17,31376255.2922849
2005-10-18,30875511.62026021
2005-10-19,30405272.34946942
2005-10-20,29989344.70975964
2005-10-21,29579292.257679775
2005-10-22,29154381.911769956
2005-10-23,28725168.73020427
2005-10-24,28336689.978376616
2005-10-25,27975011.006893665
2005-10-26,27582598.741640214
2005-10-27,27132534.482740916
2005-10-28,26675991.493324954
2005-10-29,26235728.75360458
2005-10-30,25837050.094120346
2005-10-31,26240955.15176636
2005-11-01,26623048.806307524
2005-11-02,26510202.109087963
2005-11-03,26730293.55305423
2005-11-04,27032376.634603344
2005-11-05,27003001.031284127
2005-11-06,27210604.51211462
2005-11-07,27422760.101164162
2005-11-08,27693811.47097268
2005-11-09,27958847.762226846
2005-11-10,28257706.812638115
2005-11-11,28521678.358671054
2005-11-12,28797638.125336044
2005-11-13,28699559.335676566
2005-11-14,28915238.54861916
2005-11-15,29078760.44363893
2005-11-16,29287686.86518544
2005-11-17,29524436.950678706
2005-11-18,29755024.11201756
2005-11-19,30006903.491840385
2005-11-20,29674413.137923118
2005-11-21,29907637.937189285
2005-11-22,29317304.252200216
2005-11-23,29499086.724427182
2005-11-24,28873683.810261488
2005-11-25,28279863.895236053
2005-11-26,27814863.21095497
2005-11-27,27648141.19209647
2005-11-28,27027685.64162131
2005-11-29,26653125.83188354
2005-11-30,26038807.65813332
2005-12-01,25851774.645062316
2005-12-02,25602176.846675545
2005-12-03,25585203.838866293
2005-12-04,25118702.254306275
2005-12-05,25206213.83062384
2005-12-06,24764961.676006917
2005-12-07,24283426.741304852
2005-12-08,23788594.620518
2005-12-09,23509237.646109033
2005-12-10,23039488.979827307
2005-12-11,22583393.950100563
2005-12-12,22139204.32636355
2005-12-13,22218283.401381798
2005-12-14,21878354.64103938
2005-12-15,21548532.435580686
2005-12-16,21205917.216098655
2005-12-17,20874230.120140016
2005-12-18,20553519.199590936
2005-12-19,20240487.195957888
2005-12-20,19928344.20969003
2005-12-21,19631640.73483727
2005-12-22,19357390.77679742
2005-12-23,19084617.175149348
2005-12-24,18802312.92656625
2005-12-25,18513741.56087517
2005-12-26,18232511.715032857
2005-12-27,17960566.39216838
2005-12-28,17692460.095132813
2005-12-29,17431172.612551015
2005-12-30,17192386.818769827
2005-12-31,16974564.386217803
2006-01-01,16771291.719174206
